osm_id,category,name,lat,lon,capacity_estimate,capacity_source,pm2_5,us_aqi,observation_time,province,is_shelter
health_facility_14,health_facility,PS Baraka (Poste de Santé),-11.48762199999993,27.640907000000027,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_15,health_facility,PS Bon Samaritain (Poste de Santé),-11.488059999999962,27.64201500000007,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_16,health_facility,PS Divine (Poste de Santé),-11.462902999999926,27.66934200000003,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_17,health_facility,PS Esther (Poste de Santé),-11.503786999999932,27.62965400000008,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_18,health_facility,PS Il S'Est Accompli (Poste de Santé),-11.46033699999998,27.67596600000008,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_19,health_facility,PS La Promesse (Poste de Santé),-11.49435699999998,27.63748700000008,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_20,health_facility,PS Miki (Poste de Santé),-11.497130999999968,27.63359500000007,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_21,health_facility,CS Apendeke (Centre de Santé),-11.812944999999957,27.57463800000005,30,type_based_estimate_non_shelter,20.7,84.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_22,health_facility,CS Kamilombe (Centre de Santé),-11.742486999999926,27.58471000000003,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_23,health_facility,CS Sainte Claire Kilobelobe (Centre de Santé),-11.72381299999995,27.59473500000007,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_24,health_facility,CSR Kafubu (Centre de Santé de Référence),-11.740249999999946,27.56524200000007,50,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_25,health_facility,PS Afizi (Poste de Santé),-11.72999999999996,27.58457000000004,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_26,health_facility,PS Don Bosco (Poste de Santé),-11.823819999999955,27.587292000000048,15,type_based_estimate_non_shelter,20.7,84.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_27,health_facility,PS Saint Joseph (Poste de Santé),-11.807407999999953,27.57263800000004,15,type_based_estimate_non_shelter,20.7,84.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_28,health_facility,SSC Kilobelobe (Site Soin Communautaire),-11.70698299999998,27.573762000000045,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_29,health_facility,CS Kalunda (Centre de Santé),-11.560431999999937,27.723895000000027,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_30,health_facility,PS Wasulumba (Poste de Santé),-11.532167999999956,27.77084200000008,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_31,health_facility,SSC Kalunda (Site Soin Communautaire),-11.535064999999976,27.76726200000008,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_32,health_facility,SSC Mwase 1 (Site Soin Communautaire),-11.581511999999975,27.731272000000047,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_33,health_facility,CM Alaska (Centre Médical),-11.544704999999963,27.584163000000046,40,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_34,health_facility,PS Dieu Guerrit (Poste de Santé),-11.556582999999932,27.57803300000006,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_35,health_facility,CS Source Divine (Centre de Santé),-11.568390999999965,27.550339000000065,30,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_36,health_facility,PS Ebenezer (Poste de Santé),-11.548096999999927,27.584988000000067,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_37,health_facility,PS Jama Ya Mapendo (Poste de Santé),-11.549799999999948,27.560403000000065,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_38,health_facility,PS Kabuya (Poste de Santé),-11.537292999999975,27.55598800000007,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_39,health_facility,PS La Faveur (Poste de Santé),-11.546782999999948,27.57615300000004,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_40,health_facility,PS Bon Samaritin (Poste de Santé),-11.546807999999942,27.58185500000008,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_41,health_facility,PS Eben Ezer (Poste de Santé),-11.54788199999996,27.58542800000004,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_42,health_facility,PS La Promesse Divine (Poste de Santé),-11.538376999999969,27.567588000000057,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_43,health_facility,PS Mema A Bumi (Poste de Santé),-11.550626999999963,27.58668700000004,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_44,health_facility,PS Uchungu Wa Muzazi (Poste de Santé),-11.54482699999994,27.58661500000005,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
health_facility_45,health_facility,PS Saint Pierre (Poste de Santé),-11.52928499999996,27.57744800000006,15,type_based_estimate_non_shelter,22.8,88.0,2026-08-28T09:00,Haut-Katanga,False
